crdc_id,leaid,ncessch,report_dis,discip_dis,report_race,discip_race,report_sex,discip_sex,counselors_fte,psych_fte,social_fte,nurses_fte,security_fte,law_fte
040000100120,0400001,040000100120,0,0,0,0,0,0,1,1,0,0,0,0
040000100616,0400001,040000100616,0,0,0,0,1,1,1,1,0,0,0,0
040000101204,0400001,040000101204,0,0,0,0,1,1,1,1,1,1,1,0
040000101871,0400001,040000101871,0,0,1,1,1,1,1,1,0,0,0,0
040000101872,0400001,040000101872,0,0,0,0,0,0,1,1,0,1,0,0
040000102344,0400001,040000102344,0,0,0,0,0,0,1,1,0,0,0,0
040000102484,0400001,040000102484,0,0,0,0,0,0,1,1,0,0,0,0
040000103334,0400001,040000103334,0,0,0,0,0,0,0,1,0,0,0,0
040000300147,0400003,040000300147,0,0,0,0,0,0,0,0,0,1,0,1
040000301198,0400003,040000301198,0,0,0,0,0,0,0,0,0,1,0,1
040000301458,0400003,040000301458,0,0,0,0,0,0,1,0,0,1,1,1
040000301969,0400003,040000301969,0,0,0,0,0,0,0,0,0,1,0,1
040000400912,0400004,040000400912,0,0,0,0,0,0,1,1,0,0,0,1
040000500629,0400005,040000500629,0,0,0,0,0,0,0,0,0,0,0,0
040001600476,0400016,040001600476,0,0,0,0,0,0,0,0,0,0,0,0
040001600481,0400016,040001600481,0,0,0,0,0,0,0,0,0,0,0,0
040001601942,0400016,040001601942,0,0,0,0,0,0,0,0,0,0,0,0
040001602442,0400016,040001602442,0,0,0,0,0,0,0,0,0,0,0,0
040001602443,0400016,040001602443,0,0,0,0,0,0,0,0,0,0,0,0
040001800496,0400018,040001800496,0,0,0,0,0,0,1,0,0,0,0,0
040001900498,0400019,040001900498,0,0,0,0,0,0,1,0,0,0,0,0
040002001179,0400020,040002001179,0,0,0,0,0,0,0,0,0,0,0,0
040002101276,0400021,040002101276,0,0,0,0,0,0,0,1,0,0,0,0
040002103446,0400021,040002103446,0,0,0,0,0,0,0,1,0,1,0,0
040002201354,0400022,040002201354,0,0,0,0,0,0,0,0,0,0,0,0
040002301352,0400023,040002301352,0,0,0,0,0,0,0,0,1,1,1,0
040002301355,0400023,040002301355,0,0,0,0,0,0,1,0,0,1,1,0
040002301524,0400023,040002301524,0,0,0,0,0,0,0,0,0,1,1,0
040002601389,0400026,040002601389,0,0,0,0,0,0,0,0,0,1,0,0
040002601459,0400026,040002601459,0,0,0,0,0,0,1,0,0,1,0,0
040002601460,0400026,040002601460,0,0,0,0,0,0,1,0,0,1,0,0
040002601767,0400026,040002601767,0,0,0,0,0,0,0,0,0,1,0,0
040002800528,0400028,040002800528,0,0,0,0,0,0,1,1,0,1,0,0
040003100689,0400031,040003100689,0,0,0,0,0,0,0,0,1,1,0,0
040003300703,0400033,040003300703,0,0,0,0,0,0,0,0,0,0,0,0
040003400707,0400034,040003400707,0,0,0,0,0,0,0,0,0,1,0,0
040003600709,0400036,040003600709,0,0,0,0,0,0,0,0,0,0,0,0
040003603421,0400036,040003603421,0,0,0,0,0,0,0,0,0,0,0,0
040003700712,0400037,040003700712,0,0,0,0,0,0,0,0,0,0,0,0
040003703168,0400037,040003703168,0,0,0,0,0,0,0,0,0,0,0,0
040004003343,0400040,040004003343,0,0,0,0,0,0,0,0,0,0,0,0
040004100718,0400041,040004100718,0,0,0,0,0,0,1,0,1,0,0,1
040004300733,0400043,040004300733,0,0,0,0,0,0,0,0,0,0,0,0
040004700744,0400047,040004700744,0,0,0,0,0,0,1,0,1,1,1,1
040004703031,0400047,040004703031,0,0,0,0,0,0,1,1,1,1,1,0
040005200752,0400052,040005200752,1,0,0,0,0,0,0,0,0,0,0,0
040005300754,0400053,040005300754,0,0,1,0,0,0,0,0,0,0,0,0
040005400756,0400054,040005400756,0,0,0,0,0,0,0,0,0,0,0,0
040005501731,0400055,040005501731,0,0,0,0,0,0,0,0,0,0,0,0
040005600781,0400056,040005600781,0,0,0,0,0,0,0,0,0,0,0,0
040005700784,0400057,040005700784,0,0,1,1,1,1,1,0,0,0,0,0
040006101742,0400061,040006101742,0,0,0,0,0,0,1,0,0,0,0,0
040006501599,0400065,040006501599,0,0,0,0,0,0,0,0,0,1,0,0
040006501600,0400065,040006501600,0,0,0,0,0,0,0,0,0,1,0,0
040006502685,0400065,040006502685,0,0,0,0,0,0,0,0,0,1,0,0
040006503395,0400065,040006503395,0,0,0,0,0,0,1,0,0,1,0,0
040006701901,0400067,040006701901,0,0,0,0,0,0,0,0,0,0,0,0
040006800825,0400068,040006800825,0,0,0,0,0,0,0,0,0,0,0,0
040006801745,0400068,040006801745,0,0,0,0,0,0,0,0,0,0,0,0
040006900826,0400069,040006900826,0,0,0,0,0,0,0,0,0,0,0,0
040007000831,0400070,040007000831,0,0,0,0,1,1,1,1,0,0,0,0
040007100832,0400071,040007100832,0,0,0,0,0,0,0,0,0,0,0,0
040007200834,0400072,040007200834,0,0,0,0,0,0,0,0,0,0,0,0
040007202264,0400072,040007202264,0,0,0,0,0,0,0,0,0,0,0,0
